note;serial_number;retired;is_broken;owner;inventory_pool;building;room;properties_installation_status;model
TAA-B02-01.net.zhdk.ch;FOC2712Z0DB;FALSE;FALSE;ITZ_Network;ITZ_Network;Toni-Areal (TONI);general room;inStorage;Catalyst 9300-48UXM
TAA-B02-01.net.zhdk.ch;FOC2712Z0QB;FALSE;FALSE;ITZ_Network;ITZ_Network;Toni-Areal (TONI);general room;inStorage;Catalyst 9300-48UXM
TAA-B02-01.net.zhdk.ch;FOC2542Y5G0;FALSE;FALSE;ITZ_Network;ITZ_Network;Toni-Areal (TONI);general room;inStorage;Catalyst 9300-48UXM
TAA-B03-02.net.zhdk.ch;FOC2727Y63C;FALSE;FALSE;ITZ_Network;ITZ_Network;Toni-Areal (TONI);general room;inStorage;Catalyst 9300-48UXM
TAA-B03-02.net.zhdk.ch;FOC2733Y4N1;FALSE;FALSE;ITZ_Network;ITZ_Network;Toni-Areal (TONI);general room;inStorage;Catalyst 9300-48UXM
TAA-B03-03.net.zhdk.ch;FOC2735Y06W;FALSE;FALSE;ITZ_Network;ITZ_Network;Toni-Areal (TONI);general room;inStorage;Catalyst 9300-48UXM
TAA-B03-03.net.zhdk.ch;FOC2727Y5CY;FALSE;FALSE;ITZ_Network;ITZ_Network;Toni-Areal (TONI);general room;inStorage;Catalyst 9300-48UXM
TAA-B03-29.net.zhdk.ch;FOC2729Y0XT;FALSE;FALSE;ITZ_Network;ITZ_Network;Toni-Areal (TONI);general room;inStorage;Catalyst 9300-48UXM
TAA-B03-29.net.zhdk.ch;FVH2740L0GC;FALSE;FALSE;ITZ_Network;ITZ_Network;Toni-Areal (TONI);general room;inStorage;Catalyst 9300-48UXM
TAA-B04-05.net.zhdk.ch;FOC2547Y9UW;FALSE;FALSE;ITZ_Network;ITZ_Network;Toni-Areal (TONI);general room;installed;Catalyst 9300-48UXM
TAA-B04-05.net.zhdk.ch;FOC2547Y9RP;FALSE;FALSE;ITZ_Network;ITZ_Network;Toni-Areal (TONI);general room;installed;Catalyst 9300-48UXM
TAA-B05-07.net.zhdk.ch;FOC2730YC8N;FALSE;FALSE;ITZ_Network;ITZ_Network;Toni-Areal (TONI);general room;inStorage;Catalyst 9300-48UXM
TAA-B05-07.net.zhdk.ch;FOC2730Y1C8;FALSE;FALSE;ITZ_Network;ITZ_Network;Toni-Areal (TONI);general room;inStorage;Catalyst 9300-48UXM
